epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60484,0.62616,3.08408,0.9324,0.00333,1,0.52942,0.46734,0.37546,3.13093,0.84741,0.00012,0.00012,0.00012
2,8.73591,0.47244,2.85307,0.84805,0.00333,1,0.62278,0.55523,0.34641,3.05366,0.81918,0.00025142,0.00025142,0.00025142
3,12.9113,0.62132,2.27358,0.91342,0.00333,1,0.88366,0.78973,0.34602,2.896,0.78442,0.0003736,0.0003736,0.0003736
4,17.014,0.63312,1.86477,0.88336,1,0.36537,0.89265,0.7865,0.40902,2.61255,0.78481,0.00048654,0.00048654,0.00048654
5,21.1007,0.59148,1.55961,0.88647,1,0.36537,0.89265,0.7865,0.40902,2.61255,0.78481,0.00059024,0.00059024,0.00059024
6,25.2202,0.54496,1.60216,0.83367,1,0.89478,0.97167,0.84029,0.49875,1.94474,0.79442,0.0006847,0.0006847,0.0006847
7,29.4403,0.59526,1.44344,0.91373,1,0.89478,0.97167,0.84029,0.49875,1.94474,0.79442,0.00076992,0.00076992,0.00076992
8,33.5981,0.64391,1.20604,0.86691,0.9898,1,0.995,0.8384,0.62126,1.5267,0.82634,0.0008459,0.0008459,0.0008459
9,37.7324,0.50959,1.52322,0.8458,0.9898,1,0.995,0.8384,0.62126,1.5267,0.82634,0.00091264,0.00091264,0.00091264
10,41.841,0.67916,2.00269,0.87385,0.9898,1,0.995,0.8384,0.62126,1.5267,0.82634,0.00097014,0.00097014,0.00097014
11,46.0041,0.65618,1.50592,0.87298,0.9898,1,0.995,0.8384,0.62126,1.5267,0.82634,0.0010184,0.0010184,0.0010184
12,50.1374,0.55613,2.01928,0.86318,1,0.92516,0.995,0.88867,0.49856,1.84655,0.79351,0.00105742,0.00105742,0.00105742
13,54.3589,0.58461,1.64242,0.88023,1,0.92516,0.995,0.88867,0.49856,1.84655,0.79351,0.0010872,0.0010872,0.0010872
14,58.5878,0.67217,2.94587,0.89152,1,0.92516,0.995,0.88867,0.49856,1.84655,0.79351,0.00110774,0.00110774,0.00110774
15,62.6988,0.55685,1.52126,0.87965,1,0.92516,0.995,0.88867,0.49856,1.84655,0.79351,0.001076,0.001076,0.001076
16,66.9911,0.64532,1.51293,0.91749,0.92709,1,0.98567,0.87413,0.50319,1.74619,0.79738,0.00101,0.00101,0.00101
17,71.1713,0.51113,1.34987,0.84602,0.92709,1,0.98567,0.87413,0.50319,1.74619,0.79738,0.000944,0.000944,0.000944
18,75.1472,0.68845,1.86937,0.914,0.92709,1,0.98567,0.87413,0.50319,1.74619,0.79738,0.000878,0.000878,0.000878
19,79.242,0.61726,1.28916,0.86407,0.92709,1,0.98567,0.87413,0.50319,1.74619,0.79738,0.000812,0.000812,0.000812
20,83.2605,0.63393,1.54249,0.90938,0.92709,1,0.98567,0.87413,0.50319,1.74619,0.79738,0.000746,0.000746,0.000746
21,87.2114,0.55303,1.60161,0.87152,1,0.99194,0.995,0.8999,0.49513,1.49188,0.81494,0.00068,0.00068,0.00068
22,91.5085,0.60437,1.69072,0.83283,1,0.99194,0.995,0.8999,0.49513,1.49188,0.81494,0.000614,0.000614,0.000614
23,95.7526,0.59741,1.61114,0.82721,1,0.99194,0.995,0.8999,0.49513,1.49188,0.81494,0.000548,0.000548,0.000548
24,100.068,0.59036,1.75787,0.81112,1,0.99194,0.995,0.8999,0.49513,1.49188,0.81494,0.000482,0.000482,0.000482
25,104.385,0.58843,1.73955,0.84917,0.99327,1,0.995,0.89893,0.47448,1.39816,0.81311,0.000416,0.000416,0.000416
26,108.595,0.46857,1.65955,0.82054,0.99327,1,0.995,0.89893,0.47448,1.39816,0.81311,0.00035,0.00035,0.00035
27,112.787,0.53949,1.71196,0.83829,0.99327,1,0.995,0.89893,0.47448,1.39816,0.81311,0.000284,0.000284,0.000284
28,116.975,0.63683,1.79635,0.86065,0.99327,1,0.995,0.89893,0.47448,1.39816,0.81311,0.000218,0.000218,0.000218
29,121.104,0.44203,1.57378,0.85114,0.99327,1,0.995,0.89893,0.47448,1.39816,0.81311,0.000152,0.000152,0.000152
30,125.275,0.44623,1.62207,0.82281,0.99688,1,0.995,0.92015,0.45462,1.35966,0.81031,8.6e-05,8.6e-05,8.6e-05
